Year,Team,FIFA_Rank
2006,Brazil,1
2006,Netherlands,3
2006,England,10
2006,Czechia,2
2006,France,8
2006,Spain,5
2006,Italy,13
2006,Argentina,9
2006,Portugal,7
2006,Germany,19
2006,Sweden,16
2006,Iran,23
2006,Mexico,4
2006,Croatia,23
2006,United States,5
2006,Poland,29
2006,Serbia and Montenegro,44
2006,Switzerland,35
2006,Australia,42
2006,Ukraine,45
2006,Japan,18
2006,Paraguay,33
2006,Ivory Coast,32
2006,South Korea,29
2006,Costa Rica,26
2006,Tunisia,21
2006,Ecuador,39
2006,Ghana,48
2006,Trinidad and Tobago,47
2006,Angola,57
2006,Saudi Arabia,34
2006,Togo,61
2010,Spain,2
2010,Brazil,1
2010,Netherlands,4
2010,England,8
2010,Germany,6
2010,Italy,5
2010,Argentina,7
2010,Mexico,17
2010,Chile,18
2010,Portugal,3
2010,France,9
2010,Uruguay,16
2010,Serbia,15
2010,United States,14
2010,Denmark,36
2010,Australia,20
2010,South Korea,47
2010,Paraguay,31
2010,Switzerland,24
2010,Ivory Coast,27
2010,Greece,13
2010,Honduras,38
2010,Nigeria,21
2010,Cameroon,19
2010,Ghana,32
2010,Slovenia,25
2010,Japan,45
2010,Slovakia,34
2010,South Africa,83
2010,Algeria,30
2010,North Korea,105
2010,New Zealand,78
2014,Brazil,3
2014,Spain,1
2014,Germany,2
2014,Argentina,5
2014,Netherlands,15
2014,Portugal,4
2014,England,10
2014,Colombia,8
2014,Chile,14
2014,Uruguay,7
2014,France,17
2014,Italy,9
2014,United States,13
2014,Switzerland,6
2014,Belgium,11
2014,Russia,19
2014,Ecuador,26
2014,Greece,12
2014,Croatia,18
2014,Mexico,20
2014,Bosnia and Herzegovina,21
2014,Japan,46
2014,Ivory Coast,23
2014,Nigeria,44
2014,Iran,43
2014,Costa Rica,28
2014,Australia,62
2014,Ghana,37
2014,Honduras,33
2014,South Korea,57
2014,Algeria,22
2014,Cameroon,56
2018,Brazil,2
2018,Germany,1
2018,Spain,10
2018,France,7
2018,Argentina,5
2018,Portugal,4
2018,England,12
2018,Belgium,3
2018,Colombia,16
2018,Peru,11
2018,Uruguay,14
2018,Switzerland,6
2018,Denmark,12
2018,Croatia,20
2018,Mexico,15
2018,Poland,8
2018,Sweden,24
2018,Iran,37
2018,Serbia,34
2018,Iceland,22
2018,Senegal,27
2018,Australia,36
2018,Costa Rica,23
2018,Morocco,41
2018,South Korea,57
2018,Japan,61
2018,Nigeria,48
2018,Russia,70
2018,Panama,55
2018,Tunisia,21
2018,Egypt,45
2018,Saudi Arabia,67
2022,Brazil,1
2022,Argentina,3
2022,Spain,7
2022,Netherlands,8
2022,Belgium,2
2022,Portugal,9
2022,France,4
2022,Denmark,10
2022,Germany,11
2022,Uruguay,14
2022,Croatia,12
2022,England,5
2022,Switzerland,15
2022,Serbia,21
2022,Ecuador,44
2022,Poland,26
2022,Mexico,13
2022,Iran,20
2022,United States,16
2022,Wales,19
2022,Japan,24
2022,South Korea,28
2022,Canada,41
2022,Morocco,22
2022,Costa Rica,31
2022,Australia,38
2022,Tunisia,30
2022,Senegal,18
2022,Qatar,50
2022,Saudi Arabia,51
2022,Cameroon,43
2022,Ghana,61
