Year,Team,Previous_WC_Progress
2006,Brazil,1.0
2006,Netherlands,-1.0
2006,England,0.7742
2006,Czechia,-1.0
2006,France,0.0
2006,Spain,0.7742
2006,Italy,0.5161
2006,Argentina,0.0
2006,Portugal,0.0
2006,Germany,0.9677
2006,Sweden,0.5161
2006,Iran,-1.0
2006,Mexico,0.5161
2006,Croatia,0.0
2006,United States,0.7742
2006,Poland,0.0
2006,Serbia and Montenegro,-1.0
2006,Switzerland,-1.0
2006,Australia,-1.0
2006,Ukraine,-1.0
2006,Japan,0.5161
2006,Paraguay,0.5161
2006,Ivory Coast,-1.0
2006,South Korea,0.9032
2006,Costa Rica,0.0
2006,Tunisia,0.0
2006,Ecuador,0.0
2006,Ghana,-1.0
2006,Trinidad and Tobago,-1.0
2006,Angola,-1.0
2006,Saudi Arabia,0.0
2006,Togo,-1.0
2010,Spain,0.5161
2010,Brazil,0.7742
2010,Netherlands,0.5161
2010,England,0.7742
2010,Germany,0.9032
2010,Italy,1.0
2010,Argentina,0.7742
2010,Mexico,0.5161
2010,Chile,-1.0
2010,Portugal,0.9032
2010,France,0.9677
2010,Uruguay,-1.0
2010,Serbia,-1.0
2010,United States,0.0
2010,Denmark,-1.0
2010,Australia,0.5161
2010,South Korea,0.0
2010,Paraguay,0.0
2010,Switzerland,0.5161
2010,Ivory Coast,0.0
2010,Greece,-1.0
2010,Honduras,-1.0
2010,Nigeria,-1.0
2010,Cameroon,-1.0
2010,Ghana,0.5161
2010,Slovenia,-1.0
2010,Japan,0.0
2010,Slovakia,-1.0
2010,South Africa,-1.0
2010,Algeria,-1.0
2010,North Korea,-1.0
2010,New Zealand,-1.0
2014,Brazil,0.7742
2014,Spain,1.0
2014,Germany,0.9032
2014,Argentina,0.7742
2014,Netherlands,0.9677
2014,Portugal,0.5161
2014,England,0.5161
2014,Colombia,-1.0
2014,Chile,0.5161
2014,Uruguay,0.9032
2014,France,0.0
2014,Italy,0.0
2014,United States,0.5161
2014,Switzerland,0.0
2014,Belgium,-1.0
2014,Russia,-1.0
2014,Ecuador,-1.0
2014,Greece,0.0
2014,Croatia,-1.0
2014,Mexico,0.5161
2014,Bosnia and Herzegovina,-1.0
2014,Japan,0.5161
2014,Ivory Coast,0.0
2014,Nigeria,0.0
2014,Iran,-1.0
2014,Costa Rica,-1.0
2014,Australia,0.0
2014,Ghana,0.7742
2014,Honduras,0.0
2014,South Korea,0.5161
2014,Algeria,0.0
2014,Cameroon,0.0
2018,Brazil,0.9032
2018,Germany,1.0
2018,Spain,0.0
2018,France,0.7742
2018,Argentina,0.9677
2018,Portugal,0.0
2018,England,0.0
2018,Belgium,0.7742
2018,Colombia,0.7742
2018,Peru,-1.0
2018,Uruguay,0.5161
2018,Switzerland,0.5161
2018,Denmark,-1.0
2018,Croatia,0.0
2018,Mexico,0.5161
2018,Poland,-1.0
2018,Sweden,-1.0
2018,Iran,0.0
2018,Serbia,-1.0
2018,Iceland,-1.0
2018,Senegal,-1.0
2018,Australia,0.0
2018,Costa Rica,0.7742
2018,Morocco,-1.0
2018,South Korea,0.0
2018,Japan,0.0
2018,Nigeria,0.5161
2018,Russia,0.0
2018,Panama,-1.0
2018,Tunisia,-1.0
2018,Egypt,-1.0
2018,Saudi Arabia,-1.0
2022,Brazil,0.7742
2022,Argentina,0.5161
2022,Spain,0.5161
2022,Netherlands,-1.0
2022,Belgium,0.9032
2022,Portugal,0.5161
2022,France,1.0
2022,Denmark,0.5161
2022,Germany,0.0
2022,Uruguay,0.7742
2022,Croatia,0.9677
2022,England,0.9032
2022,Switzerland,0.5161
2022,Serbia,0.0
2022,Ecuador,-1.0
2022,Poland,0.0
2022,Mexico,0.5161
2022,Iran,0.0
2022,United States,-1.0
2022,Wales,-1.0
2022,Japan,0.5161
2022,South Korea,0.0
2022,Canada,-1.0
2022,Morocco,0.0
2022,Costa Rica,0.0
2022,Australia,0.0
2022,Tunisia,0.0
2022,Senegal,0.0
2022,Qatar,-1.0
2022,Saudi Arabia,0.0
2022,Cameroon,-1.0
2022,Ghana,-1.0
